Start_ID,End_ID,Distance
1,153,72.81
153,154,141.92
154,155,202.2
155,156,73.01
4,156,15.24
2,155,14.91
2,6,31.78
6,157,48.07
2,157,65.26
157,158,88.32
13,158,27.83
15,158,34.04
158,166,83.8
159,166,160.08
12,159,18.26
159,163,144.73
162,163,73.03
9,162,48.14
161,162,12.08
11,161,12.28
160,161,86.91
7,160,39.59
157,160,301.48
38,159,87.41
38,164,147.31
163,164,86.9
164,168,102.51
165,168,142.43
165,167,161.57
38,165,101.59
166,167,187.52
167,256,157.97
55,256,15.01
36,256,90.03
36,257,100.6
166,257,159.52
253,257,147.09
249,253,28.98
20,249,36.08
253,255,174.54
157,255,309.45
16,257,49.81
38,39,83.52
39,262,70.23
167,260,118.63
43,263,35.32
56,263,34.02
258,260,54.94
258,259,35.21
174,260,70.54
174,175,95.39
53,175,20.24
174,261,99.31
183,261,86.61
174,235,141.44
78,235,27.06
70,235,97.39
235,264,80.18
74,264,19.4
236,264,86.71
236,245,48.67
76,245,19.03
245,246,73.4
79,246,18.92
246,254,64.62
254,256,150.83
244,254,75.25
253,254,187.92
21,244,18.47
168,169,29.45
169,170,58.93
48,170,23.12
44,170,15.87
45,169,51.75
170,171,100.92
171,172,74.42
51,172,20.6
172,173,65.24
173,175,70.26
42,173,65.94
41,165,56.12
49,171,50.04
171,178,179.09
58,178,19.36
60,178,71.28
60,176,10.1
176,177,68.78
177,179,67.39
62,179,10.91
177,182,74.0
180,182,71.64
97,180,11.76
180,185,69.51
178,185,73.88
185,187,64.61
186,187,32.54
93,186,22.55
187,188,138.98
182,188,65.35
181,182,69.51
99,181,12.44
181,184,90.49
183,184,67.33
179,183,95.4
173,177,177.52
183,205,89.17
137,205,34.51
137,210,60.13
209,210,31.68
192,209,83.39
188,192,163.38
184,192,65.36
192,202,27.45
201,202,19.84
101,201,26.82
119,201,44.76
118,193,42.36
193,201,37.77
193,194,90.98
115,194,14.4
189,194,69.55
188,189,85.01
102,189,37.79
189,191,56.94
105,191,11.58
190,191,32.94
95,190,12.17
37,164,101.17
109,198,97.35
196,198,30.31
114,196,13.99
196,197,161.9
116,197,26.88
197,200,60.83
199,200,159.58
151,200,23.51
196,199,60.87
112,198,19.33
110,151,362.51
121,203,12.68
197,265,41.96
193,265,28.4
203,265,66.17
203,207,71.76
204,207,29.57
125,207,56.78
125,208,57.36
208,209,54.42
208,211,42.04
138,210,24.16
139,208,34.07
140,211,21.34
127,211,13.32
147,212,19.86
211,212,24.75
212,213,16.35
213,214,14.85
214,215,10.89
215,216,12.86
216,217,18.8
217,222,30.69
222,223,13.15
223,224,37.55
132,224,15.3
86,223,32.2
84,224,20.76
84,225,20.28
133,225,17.11
132,133,24.06
224,225,32.14
227,228,55.85
225,228,47.36
226,227,25.42
72,226,13.51
206,226,34.25
136,206,16.08
206,234,49.39
205,234,55.58
70,234,91.13
148,213,21.3
149,214,20.45
150,216,21.49
144,215,28.93
143,214,30.07
142,213,29.47
141,213,28.99
145,216,31.16
146,217,29.77
130,217,31.25
129,218,82.69
218,219,59.86
219,220,59.42
220,221,145.69
91,221,9.99
221,232,73.15
152,232,23.94
232,233,248.67
231,233,93.17
81,231,89.04
229,231,140.93
228,229,46.51
83,229,18.84
87,220,10.38
219,222,115.85
204,219,145.43
124,204,15.64
134,227,24.49
89,221,55.99
68,230,14.02
228,230,99.51
230,236,89.6
236,241,135.28
66,68,111.73
237,241,51.07
237,238,21.12
238,239,24.42
64,239,22.46
239,240,19.59
27,240,15.56
29,238,15.67
32,240,49.55
30,241,93.03
231,237,186.33
242,244,60.8
242,243,16.38
243,247,29.15
30,242,94.77
24,247,80.62
33,243,39.18
31,243,52.37
247,248,69.82
248,250,89.14
249,250,122.55
18,250,39.13
18,249,88.51
25,248,25.91
250,251,170.09
251,252,74.33
22,252,24.15
252,255,77.25
70,261,159.25
122,200,95.21
195,196,31.87
189,195,38.45
107,195,10.33

