Node_ID,Name,Type,X,Y,PX,PY,Parent
1,南门,Building,554.39,8.98,689.2472105308248,1678.1022032088906,南门
2,中门,Building,411.86,298.52,546.7218146603593,1388.5624226216464,中门
3,校医院,Building,250.26,325.45,385.1182161930601,1361.628489543763,校医院
4,校医院_入口,Door,336.67,300.76,471.5312514846021,1386.3179281984894,校医院
5,邮局,Building,457.88,325.45,592.7339503350765,1361.628489543763,邮局
6,邮局_入口,Door,433.19,322.08,568.0445116803503,1364.9952311784984,邮局
7,运输中心,Building,77.44,337.8,212.29214560997627,1349.2837702164,运输中心
8,国际学院楼,Building,56.11,410.74,190.9694485899854,1276.3377014637997,国际学院楼
9,国际学院楼_入口,Door,58.36,461.24,193.21394301314228,1225.8365769427687,国际学院楼
10,教三楼,Building,250.26,459.0,385.1182161930601,1228.0810713659257,教三楼
11,教三楼_西门,Door,118.96,453.39,253.81529243837952,1233.692307423818,教三楼
12,教三楼_北门,Door,252.51,518.48,387.3627106162171,1168.6019691522667,教三楼
13,教三楼_东门,Door,381.56,454.51,516.4211399477408,1232.5700602122392,教三楼
14,教二楼,Building,568.98,451.14,703.8364242813448,1235.936801846975,教二楼
15,教二楼_西门,Door,443.29,453.39,578.1447365845565,1233.692307423818,教二楼
16,教二楼_北门,Door,570.04,486.01,704.8921065199814,1201.0699251132048,教二楼
17,创新楼,Building,789.21,455.82,924.067090857399,1231.2623974454,创新楼
18,李白烈士雕像,Building,833.94,553.1,968.7966794976882,1133.975542152771,李白烈士雕像
19,科学会堂,Building,794.8,636.97,929.6582894374352,1050.1075634522283,科学会堂
20,科学会堂_南门,Door,750.07,573.23,884.9287007971458,1113.8472272646409,科学会堂
21,科学会堂_北门,Door,795.92,706.3,930.7765291534424,980.77670105978,科学会堂
22,创新楼_入口,Door,797.04,387.61,931.8947688694496,1299.4750201218412,创新楼
23,体育场,Building,950.24,519.56,1085.0936099624405,1167.5227336329876,体育场
24,体育场_北门,Door,951.35,690.65,1086.2118496784474,996.4320570838812,体育场
25,体育场_西门,Door,896.56,629.14,1031.4181035940933,1057.935241464279,体育场
26,游泳馆,Building,971.48,805.83,1106.3401645665776,881.2533663351363,游泳馆
27,游泳馆_入口,Door,971.48,898.64,1106.3401645665776,788.439469906536,游泳馆
28,体育馆,Building,903.27,820.36,1038.1275418901364,866.7162500270423,体育馆
29,体育馆_北门,Door,925.64,898.64,1060.492336210281,788.439469906536,体育馆
30,体育馆_西门,Door,863.01,821.48,997.8709121138762,865.5980103110351,体育馆
31,体育馆_南门,Door,916.69,749.91,1051.5464184822235,937.165352135498,体育馆
32,东门,Building,1020.69,917.65,1155.542712070896,769.4293947344131,东门
33,全民健身,Building,909.98,725.31,1044.83698018618,961.766625887657,全民健身
34,全民健身_家属区,Building,603.58,251.18,738.4392980001984,1435.9002654747237,全民健身_家属区
35,主楼,Building,644.96,636.97,779.8141674924659,1050.1075634522283,主楼
36,主楼_入口,Door,589.05,634.74,723.9021816921044,1052.3440428842428,主楼
37,西门,Building,5.94,624.04,140.93632328954936,1060.9626255293902,西门
38,校训石,Intersection,254.39,624.04,389.3875435685537,1060.9626255293902,校训石
39,主席像,Building,337.91,624.04,472.9094431517085,1060.9626255293902,主席像
40,教四楼,Building,251.22,814.34,386.21582586286434,870.6595631880252,教四楼
41,教四楼_南门,Door,248.04,781.57,383.04410815717495,903.4339794801492,教四楼
42,教四楼_北门,Door,249.1,848.17,384.1013473924047,836.8279076606714,教四楼
43,教四楼_东门,Door,379.14,816.45,514.1417733256708,868.5450847175656,教四楼
44,教四楼_西门,Door,122.23,816.45,257.232639164828,868.5450847175656,教四楼
45,ATM,Building,54.57,758.31,189.5693281101204,926.6932426552048,ATM
46,邮局,Building,56.68,806.94,191.68380658058004,878.0602378346339,邮局
47,鸿通楼,Building,56.68,878.83,191.68380658058004,806.167969839007,鸿通楼
48,邮局_入口,Door,84.17,808.0,219.172026696555,877.002998599404,邮局
49,鸿通楼_入口,Door,56.68,916.89,191.68380658058004,768.107357370734,鸿通楼
50,学一公寓,Building,178.27,956.01,313.2663186320077,728.9895056672312,学一公寓
51,学一公寓_入口,Door,181.44,933.81,316.4380363376972,751.1915296070572,学一公寓
52,学二公寓,Building,317.82,957.07,452.82189768234207,727.9322664320014,学二公寓
53,学二公寓_入口,Door,317.82,935.92,452.82189768234207,749.0770511365976,学二公寓
